Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,Order forAnthony,10,0,31,96.3179900078103,25.80379997380078,340.0035999948159,669.0,0.5144336567705791,0.0,32,33,170,240,340,340,340,340,340,340,340
POST,Order forMary,6,0,28,32.76416667116185,26.62899997085333,44.13100006058812,669.0,0.30866019406234746,0.0,35,35,35,35,44,44,44,44,44,44,44
POST,Order forRichard,3,0,34,32.32396661769599,25.67749994341284,36.79609997197986,676.0,0.15433009703117373,0.0,34,34,37,37,37,37,37,37,37,37,37
,Aggregated,19,0,32,66.14404210306115,25.67749994341284,340.0035999948159,670.1052631578947,0.9774239478641003,0.0,32,35,37,44,240,340,340,340,340,340,340
